route_id,pass_id,annotation_target,model_registry_id,repeat_count,packet_layer,prompt_id,allowed_evidence_domains,prohibited_fields,consensus_role,route_version,notes
syn_gpt,source_syn,interjection_syn,gpt_primary,2,source_declaration_specific,prompt_syn_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
syn_claude,source_syn,interjection_syn,claude_primary,2,source_declaration_specific,prompt_syn_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
syn_gemini,source_syn,interjection_syn,gemini_primary,2,source_declaration_specific,prompt_syn_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
sem_gpt,source_sem,interjection_sem,gpt_primary,2,source_declaration_specific,prompt_sem_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
sem_claude,source_sem,interjection_sem,claude_primary,2,source_declaration_specific,prompt_sem_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
sem_gemini,source_sem,interjection_sem,gemini_primary,2,source_declaration_specific,prompt_sem_v0_2,phonology|morphology|syntax|semantics|interaction_safe,target_outcome|target_frequency|other_category_labels,family_vote,0.2,Separate randomized source pass
neighbour_gpt,neighbour,one_frozen_neighbour,gpt_primary,2,source_declaration_specific,prompt_neighbour_v0_2,declared_category_evidence_only,target_outcome|target_frequency|interjection_labels,family_vote,0.2,One neighbouring classification per fresh pass
neighbour_claude,neighbour,one_frozen_neighbour,claude_primary,2,source_declaration_specific,prompt_neighbour_v0_2,declared_category_evidence_only,target_outcome|target_frequency|interjection_labels,family_vote,0.2,One neighbouring classification per fresh pass
neighbour_gemini,neighbour,one_frozen_neighbour,gemini_primary,2,source_declaration_specific,prompt_neighbour_v0_2,declared_category_evidence_only,target_outcome|target_frequency|interjection_labels,family_vote,0.2,One neighbouring classification per fresh pass
token_gpt,token_sign_type,token_to_sign_type,gpt_primary,2,token_sign_type_assignment,prompt_token_v0_2,preoffset_packet|opaque_sign_type_rules,category_labels|post_offset_sequence|outcomes,family_vote,0.2,
token_claude,token_sign_type,token_to_sign_type,claude_primary,2,token_sign_type_assignment,prompt_token_v0_2,preoffset_packet|opaque_sign_type_rules,category_labels|post_offset_sequence|outcomes,family_vote,0.2,
token_gemini,token_sign_type,token_to_sign_type,gemini_primary,2,token_sign_type_assignment,prompt_token_v0_2,preoffset_packet|opaque_sign_type_rules,category_labels|post_offset_sequence|outcomes,family_vote,0.2,
cue_gpt,immediate_cue,preoffset_immediate_cues,gpt_primary,2,immediate_cue,prompt_cue_v0_2,preoffset_packet,category_labels|post_offset_sequence|outcomes,family_vote,0.2,Audio-only cues require expert measurement
cue_claude,immediate_cue,preoffset_immediate_cues,claude_primary,2,immediate_cue,prompt_cue_v0_2,preoffset_packet,category_labels|post_offset_sequence|outcomes,family_vote,0.2,Audio-only cues require expert measurement
cue_gemini,immediate_cue,preoffset_immediate_cues,gemini_primary,2,immediate_cue,prompt_cue_v0_2,preoffset_packet,category_labels|post_offset_sequence|outcomes,family_vote,0.2,Audio-only cues require expert measurement
